p_1
0.767,0.575,0.964,0.877,0.951
0.946,-0.326,0.505,0.541,0.445
-0.253,0.007,0.409,0.987,-0.289
-0.865,-0.01,0.247,-0.435,-0.945
0.275,-0.441,-0.387,0.049,0.003
p_2
0.535,-0.688,-0.843,0.101,0.712
-0.132,-0.082,-0.792,-0.62,-0.742
0.408,-0.395,-0.343,-0.973,0.779
-0.056,0.866,-0.796,0.012,0.729
-0.01,-0.626,0.655,-0.119,-0.11
p_3
-0.845,0.852,0.564,-0.077,0.538
0.965,0.856,0.211,0.353,-0.142
-0.307,0.256,-0.203,-0.624,0.167
-0.9,0.436,-0.135,-0.186,-0.784
-0.655,0.141,0.745,0.684,0.728
p_4
-0.623,-0.847,0.274,0.695,-0.875
0.453,0.276,-0.237,0.785,-0.514
-0.977,-0.417,-0.056,0.592,0.164
-0.196,0.385,0.738,-0.249,-0.201
0.658,0.631,-0.532,-0.83,-0.972
p_5
-0.918,-0.547,-0.283,0.632,-0.073
0.846,0.178,0.381,-0.418,-0.32
0.795,-0.828,0.284,0.553,0.32
-0.873,0.468,-0.876,0.729,-0.508
-0.773,0.08,0.647,0.499,-0.643
