p_1
0.48,-0.074,0.233,0.134,-0.556
0.603,-0.434,-0.8,0.411,-0.568
-0.632,0.56,-0.121,-0.77,-0.573
0.018,-0.187,0.594,-0.18,-0.405
0.696,0.162,0.901,-0.078,0.047
p_2
0.711,0.347,-0.882,0.225,-0.345
0.063,0.981,-0.025,-0.611,-0.312
0.121,0.514,-0.543,-0.921,-0.974
0.953,0.951,-0.975,-0.178,-0.209
0.651,0.33,0.863,0.558,-0.665
p_3
0.929,-0.244,-0.254,-0.565,-0.487
0.267,-0.006,-0.87,-0.136,0.232
-0.995,0.005,0.612,0.316,-0.133
-0.341,0.224,0.751,-0.674,-0.699
0.17,0.351,0.91,-0.408,0.066
p_4
0.725,-0.812,-0.817,-0.152,0.634
0.567,0.464,0.384,-0.999,-0.722
0.673,0.441,-0.175,-0.799,-0.775
-0.859,0.273,0.515,-0.391,0.459
-0.512,0.613,0.124,0.995,-0.883
p_5
-0.587,-0.553,0.139,-0.336,-0.28
-0.107,-0.883,-0.549,0.086,0.75
0.605,-0.63,-0.873,-0.101,0.879
0.834,0.162,0.292,0.757,0.752
0.551,-0.062,0.523,-0.84,0.416
