p_1
0.668,0.16,-0.05,-0.055,0.149
0.558,-0.022,0.773,-0.223,-0.541
0.495,0.693,0.922,0.004,0.479
-0.923,-0.216,-0.414,0.953,-0.873
0.783,-0.175,0.306,-0.641,-0.255
p_2
0.596,0.629,0.973,0.988,-0.117
0.839,-0.885,-0.041,-0.121,0.777
-0.768,0.348,-0.578,-0.987,0.438
-0.974,0.325,0.765,-0.177,-0.229
0.563,-0.516,-0.644,0.397,-0.192
p_3
-0.563,0.89,-0.273,0.411,0.08
0.213,-0.287,-0.511,-0.237,-0.605
0.103,-0.298,-0.941,-0.55,0.143
-0.298,0.377,-0.485,-0.97,0.314
0.901,-0.899,-0.738,0.135,-0.229
p_4
-0.442,-0.327,-0.668,-0.825,0.334
-0.609,0.187,-0.759,0.81,0.715
0.372,0.299,-0.936,0.124,-0.002
0.896,-0.216,-0.019,0.432,0.438
0.802,-0.061,-0.111,0.656,-0.892
p_5
-0.552,-0.319,-0.379,0.104,-0.648
-0.415,-0.009,-0.979,0.574,0.193
0.116,0.106,0.339,-0.057,0.595
0.852,0.788,0.446,-0.41,-0.746
-0.733,-0.924,0.437,0.737,-0.943
