p_1
0.697,0.477,0.043,-0.721,-0.103
0.732,0.233,0.668,0.475,-0.001
-0.069,-0.052,0.339,-0.17,-0.941
-0.141,0.146,-0.111,-0.011,-0.715
-0.7,0.876,-0.972,0.695,-0.389
p_2
-0.122,-0.293,0.971,-0.557,-0.389
-0.194,0.037,0.405,0.501,-0.191
-0.133,0.291,-0.985,-0.442,-0.783
0.009,-0.67,0.104,0.702,-0.229
0.012,0.07,0.145,0.883,0.984
p_3
0.288,0.475,-0.738,-0.646,0.219
0.898,-0.096,-0.194,0.455,0.484
-0.329,-0.786,-0.688,0.182,0.985
-0.175,0.39,0.048,-0.763,-0.364
0.033,0.639,-0.44,-0.138,0.636
p_4
-0.915,-0.351,0.346,-0.829,-0.828
-0.251,0.37,-0.214,0.668,-0.315
0.803,-0.19,0.322,0.182,0.785
-0.045,0.868,0.429,0.728,-0.349
0.606,0.181,-0.606,-0.18,0.706
p_5
0.646,0.628,0.191,0.746,-0.414
0.49,0.337,-0.509,-0.044,-0.145
-0.01,-0.959,-0.237,0.3,0.445
-0.715,0.1,-0.866,0.896,-0.505
-0.865,-0.404,0.086,0.261,-0.712
