p_1
-0.654,0.343,0.731,0.298,0.071
0.242,0.222,-0.86,-0.729,0.051
0.726,-0.369,0.897,-0.576,0.958
-0.98,0.598,0.281,-0.758,0.406
-0.741,-0.313,0.481,0.575,0.107
p_2
-0.526,0.651,-0.965,-0.623,0.245
0.48,-0.763,-0.529,0.733,0.244
-0.025,-0.7,-0.908,-0.105,-0.698
-0.31,0.708,-0.855,-0.097,0.8
0.068,-0.957,0.482,-0.116,0.718
p_3
-0.071,-0.401,0.599,-0.039,0.628
0.239,0.739,0.217,0.539,0.878
-0.854,-0.973,0.436,0.009,0.123
0.422,0.077,-0.779,-0.103,0.24
0.824,0.04,0.576,0.54,0.946
p_4
0.977,-0.42,0.918,0.526,-0.847
0.308,-0.927,-0.748,-0.815,0.342
0.091,0.204,0.635,0.595,-0.988
-0.033,0.449,0.219,0.163,0.54
0.49,-0.271,-0.365,0.569,-0.797
p_5
0.494,-0.251,-0.177,-0.262,-0.447
0.359,0.327,0.648,0.951,0.684
-0.267,0.973,-0.431,0.509,-0.086
-0.255,0.578,0.099,-0.604,-0.395
0.598,-0.646,0.199,-0.277,-0.669
